Plugin ID,CVE,CVSS,Risk,Host,Protocol,Port,Name,Synopsis,Description,Solution,See Also,Plugin Output,STIG Severity,CVSS v3.0 Base Score,CVSS Temporal Score,CVSS v3.0 Temporal Score,Risk Factor,BID,XREF,MSKB,Plugin Publication Date,Plugin Modification Date,Metasploit,Core Impact,CANVAS
"10107","","","None","192.168.43.223","tcp","3780","HTTP Server Type and Version","A web server is running on the remote host.","This plugin attempts to determine the type and the version of the
  remote web server.","n/a","","The remote web server type is :

Security Console","","","","","None","","","","2000/01/04","2020/06/12","","",""
"10114","CVE-1999-0524","0.0","None","192.168.43.223","icmp","0","ICMP Timestamp Request Remote Date Disclosure","It is possible to determine the exact time set on the remote host.","The remote host answers to an ICMP timestamp request.  This allows an
attacker to know the date that is set on the targeted machine, which
may assist an unauthenticated, remote attacker in defeating time-based
authentication protocols.

Timestamps returned from machines running Windows Vista / 7 / 2008 /
2008 R2 are deliberately incorrect, but usually within 1000 seconds of
the actual system time.","Filter out the ICMP timestamp requests (13), and the outgoing ICMP
timestamp replies (14).","","The difference between the local and remote clocks is 7 seconds.
","","0.0","","","None","","CWE:200","","1999/08/01","2019/10/04","","",""
"10287","","","None","192.168.43.223","udp","0","Traceroute Information","It was possible to obtain traceroute information.","Makes a traceroute to the remote host.","n/a","","For your information, here is the traceroute from 192.168.43.118 to 192.168.43.223 : 
192.168.43.118
192.168.43.223

Hop Count: 1
","","","","","None","","","","1999/11/27","2020/08/20","","",""
"10302","","","None","192.168.43.223","tcp","3780","Web Server robots.txt Information Disclosure","The remote web server contains a 'robots.txt' file.","The remote host contains a file named 'robots.txt' that is intended to
prevent web 'robots' from visiting certain directories in a website for
maintenance or indexing purposes.  A malicious user may also be able to
use the contents of this file to learn of sensitive documents or
directories on the affected site and either retrieve them directly or
target them for other attacks.","Review the contents of the site's robots.txt file, use Robots META tags
instead of entries in the robots.txt file, and/or adjust the web
server's access controls to limit access to sensitive material.","http://www.robotstxt.org/orig.html","Contents of robots.txt :

User-agent: *
Disallow: /
","","","","","None","","","","1999/10/12","2018/11/15","","",""
"10386","","","None","192.168.43.223","tcp","3780","Web Server No 404 Error Code Check","The remote web server does not return 404 error codes.","The remote web server is configured such that it does not return '404
Not Found' error codes when a nonexistent file is requested, perhaps
returning instead a site map, search page or authentication page.

Nessus has enabled some counter measures for this.  However, they
might be insufficient.  If a great number of security holes are
produced for this port, they might not all be accurate.","n/a","","

CGI scanning will be disabled for this host because the host responds
to requests for non-existent URLs with HTTP code 302
rather than 404. The requested URL was : 

    https://192.168.43.223:3780/7pvMHXDtsIHb.html
","","","","","None","","","","2000/04/28","2020/06/12","","",""
"10863","","","None","192.168.43.223","tcp","3780","SSL Certificate Information","This plugin displays the SSL certificate.","This plugin connects to every SSL-related port and attempts to 
extract and dump the X.509 certificate.","n/a","","Subject Name: 

Common Name: Rapid7 Security Console
Organization: abcdcompany

Issuer Name: 

Common Name: Rapid7 Security Console
Organization: abcdcompany

Serial Number: D1 57 69 6E 17 AD 3E 53 B2 66 E0 86 DA 46 72 2B 

Version: 3

Signature Algorithm: SHA-512 With RSA Encryption

Not Valid Before: Jun 10 00:00:00 2020 GMT
Not Valid After: Jun 10 17:23:12 2030 GMT

Public Key Info: 

Algorithm: RSA Encryption
Key Length: 4096 bits
Public Key: 00 A9 69 4D 37 8E 3B CF 2B 01 AE 11 64 0E FF 8C 1B 46 CC 92 
            B7 C3 14 53 D7 AA 01 ED 74 74 44 D2 B9 32 E4 87 4D FB 0A 8B 
            C1 2D 50 EE 02 7F 35 2E 8E 3C 5A 32 BE 3C F2 EA 71 FB 18 04 
            91 B8 05 45 38 47 DD 15 D9 8A 36 84 DD 8D D6 39 6D B1 47 A6 
            47 FE F2 50 88 17 4B 2B 8D 99 6B 33 59 C0 A1 24 38 A2 14 E7 
            0C 93 3C 54 26 F5 45 19 CF DF A0 A9 97 BB AE D1 26 5F 4B 96 
            12 E0 3C D9 A9 C8 24 A1 9D 57 42 6A 10 DE AA 0F BC 14 09 ED 
            86 4A 21 9F 89 C5 C2 62 7B EE 08 FF 52 81 9F A8 5D A9 A5 B6 
            3B 9E 12 5D C3 19 C3 DB 92 65 D9 F2 30 CD DF 4E EF 58 4B 11 
            94 B7 63 8D 86 CD B6 12 9B 13 0B 00 32 A7 3E 25 CF 83 D3 56 
            10 15 3A 6E 48 01 D0 BC FF 99 8A F7 E6 69 74 F7 3D 36 8B FF 
            64 49 0A E8 23 D6 AB 3B 0A 90 6D 88 50 4A E2 44 83 C6 2E E6 
            DB 75 43 0E 56 1F FC FE D3 7F 3D 99 FF 52 E2 6A B7 4F 78 5E 
            BA 2E C5 C1 F7 DA A9 38 90 B9 50 9C BC AE EE 68 6B 0F 2F 5B 
            AE BE 0D C6 24 64 54 4F 39 37 10 9E A0 EE 8A 9B F3 B9 A7 54 
            4B AF C5 39 BF 1A A2 8F 76 4E 08 3C BA E4 EF 9E 0D 75 7F 21 
            29 8B 8E E6 6D FB FB B7 A4 C9 14 58 41 67 62 68 60 62 58 79 
            77 99 F6 B0 CA 76 65 55 74 2D F7 E4 D4 FE 53 89 13 C9 78 08 
            CD E9 18 F5 DB 51 61 AB 50 87 A5 6C 9A C9 4F 59 8A DB D9 41 
            53 95 81 E5 AD B2 B3 1E 1E F7 26 FF 09 AF 4E 23 9D F6 0A EC 
            1C 32 67 7C 04 76 86 9E 0E 15 22 80 29 F1 5F 20 1E B0 79 F8 
            79 B4 40 81 19 A4 7F 51 E6 1D EA 36 8F 7C 80 AC 99 2C 18 E7 
            8C E8 96 6B 62 C7 75 0D 93 7B AE 01 02 6D 49 1A 85 8B 6F E2 
            FE C3 26 2B 19 62 59 F6 8B C1 C8 FD D1 77 57 B3 9E 1E 0F 21 
            84 B4 16 40 52 94 54 06 30 86 F8 F2 A3 D1 8B 82 07 C9 01 43 
            E9 52 DA 00 D8 84 9C F2 22 A6 47 3E ED 
Exponent: 01 00 01 

Signature Length: 512 bytes / 4096 bits
Signature: 00 71 C8 49 54 02 D8 D7 14 C8 6D EC DA 2B 88 33 FA F9 7B FA 
           78 16 C1 8F 09 23 12 BC 7C 00 D2 F1 C7 41 0F 9E 38 B4 0B BD 
           08 04 41 94 6C 9E F1 BC C6 C5 A0 B2 AA CD 2C 59 C5 0A A1 B9 
           90 69 8D 14 9E 23 8F 9D C0 55 5F 97 22 6F C6 0B 3A FD 75 4B 
           00 6D 2A F4 DE 2D 64 29 10 80 69 BF 9A EE 35 DD B1 32 5A EE 
           C7 07 74 B3 BB 2C E4 63 A0 20 60 AC BA 62 94 27 32 BE A7 20 
           74 CF 3D 03 2E D7 19 6A D2 67 B5 C2 DE B6 93 63 73 35 2D 5D 
           25 45 46 59 A7 DA 78 58 56 93 00 9E B4 BC 1C 09 B0 48 F4 68 
           AF EB 17 1E 58 49 82 9B 09 85 32 42 8E E3 1F C0 4E E9 D9 F4 
           28 53 AE 37 DA CA B3 DB D7 76 D4 A6 0F 57 54 2B 0F CC 0D 23 
           C3 A2 EC 48 8D 51 58 97 F7 11 5B B0 D5 55 6A AC 5A C7 CD AD 
           FE F7 03 C6 93 34 E4 38 2D B8 72 15 94 F7 98 6A 00 94 6A A8 
           6A 65 80 CA F6 3C 47 C6 F2 9C C3 DB C0 BD 84 C0 29 80 E8 87 
           C6 D3 E4 C4 BE 53 80 2B 9E 7B BC 97 0F 28 88 1A 72 87 77 D5 
           A9 CC 35 CB 30 A8 19 63 07 6A 6B 3E 7B 95 88 CC 07 86 E2 04 
           F8 8D 8C 70 13 DC 41 7C 55 4F 92 79 CB 25 3D 7F 0D 61 A6 8C 
           B5 FF D5 B3 ED 80 95 4F 84 08 AF 19 6E 45 7B 4A 0A D6 8D DA 
           1E 88 C0 AB F2 2F 99 CF 63 EA A8 5E 88 A3 C2 73 04 29 C9 92 
           B0 C0 8B 84 12 38 F0 B1 B0 D7 64 EE 63 4B 8E 01 D8 11 25 46 
           CB 6C 63 CB 18 23 58 EC BB 07 D0 7B FB 60 50 E9 C3 CB EC D9 
           DD 2A A6 44 3B D0 BF E1 A8 C2 26 A1 A0 0C 68 6F 86 31 C0 5F 
           A7 69 9D 49 49 CF C7 D8 AD EA C6 13 E0 54 F7 3F EF 45 0A F4 
           B1 B9 14 E6 0C F7 52 70 2B 64 62 47 7B 45 D3 B3 AC D0 D0 AE 
           92 2A 3B E3 28 BB FC D9 99 CD E8 9E 60 78 D0 32 90 1F 65 21 
           E9 79 29 F7 0B 10 44 2D CA E0 98 8E ED A4 EB 4F FA 6D A2 C3 
           42 7B 57 A0 3E BA 61 BB C6 C0 11 C1 40 

Fingerprints : 

SHA-256 Fingerprint: B3 0E CB 34 08 A3 03 D3 28 54 4C 61 08 39 B6 86 53 AB C6 50 
                     86 A3 17 B4 C9 4D D3 89 86 CE 8F B7 
SHA-1 Fingerprint: 1B 38 C4 2A 49 02 EC 42 D3 2B 2E 73 00 76 CA FA 44 A1 7B 78 
MD5 Fingerprint: C8 3E 55 24 17 DA D6 81 67 3F 8C 05 BC E0 E1 8C 


PEM certificate : 

-----BEGIN CERTIFICATE-----
MIIE9DCCAt6gAwIBAgIQ0VdpbhetPlOyZuCG2kZyKzALBgkqhkiG9w0BAQ0wODEgMB4GA1UEAxMXUmFwaWQ3IFNlY3VyaXR5IENvbnNvbGUxFDASBgNVBAoTC2FiY2Rjb21wYW55MB4XDTIwMDYxMDAwMDAwMFoXDTMwMDYxMDE3MjMxMlowODEgMB4GA1UEAxMXUmFwaWQ3IFNlY3VyaXR5IENvbnNvbGUxFDASBgNVBAoTC2FiY2Rjb21wYW55MIICIjANBgkqhkiG9w0BAQEFAAOCAg8AMIICCgKCAgEAqWlNN447zysBrhFkDv+MG0bMkrfDFFPXqgHtdHRE0rky5IdN+wqLwS1Q7gJ/NS6OPFoyvjzy6nH7GASRuAVFOEfdFdmKNoTdjdY5bbFHpkf+8lCIF0srjZlrM1nAoSQ4ohTnDJM8VCb1RRnP36Cpl7uu0SZfS5YS4DzZqcgkoZ1XQmoQ3qoPvBQJ7YZKIZ+JxcJie+4I/1KBn6hdqaW2O54SXcMZw9uSZdnyMM3fTu9YSxGUt2ONhs22EpsTCwAypz4lz4PTVhAVOm5IAdC8/5mK9+ZpdPc9Nov/ZEkK6CPWqzsKkG2IUEriRIPGLubbdUMOVh/8/tN/PZn/UuJqt094XrouxcH32qk4kLlQnLyu7mhrDy9brr4NxiRkVE85NxCeoO6Km/O5p1RLr8U5vxqij3ZOCDy65O+eDXV/ISmLjuZt+/u3pMkUWEFnYmhgYlh5d5n2sMp2ZVV0Lffk1P5TiRPJeAjN6Rj121Fhq1CHpWyayU9ZitvZQVOVgeWtsrMeHvcm/wmvTiOd9grsHDJnfAR2hp4OFSKAKfFfIB6wefh5tECBGaR/UeYd6jaPfICsmSwY54zolmtix3UNk3uuAQJtSRqFi2/i/sMmKxliWfaLwcj90XdXs54eDyGEtBZAUpRUBjCG+PKj0YuCB8kBQ+lS2gDYhJzyIqZHPu0CAwEAATALBgkqhkiG9w0BAQ0DggIBAHHISVQC2NcUyG3s2iuIM/r5e/p4FsGPCSMSvHwA0vHHQQ+eOLQLvQgEQZRsnvG8xsWgsqrNLFnFCqG5kGmNFJ4jj53AVV+XIm/GCzr9dUsAbSr03i1kKRCAab+a7jXdsTJa7scHdLO7LORjoCBgrLpilCcyvqcgdM89Ay7XGWrSZ7XC3raTY3M1LV0lRUZZp9p4WFaTAJ60vBwJsEj0aK/rFx5YSYKbCYUyQo7jH8BO6dn0KFOuN9rKs9vXdtSmD1dUKw/MDSPDouxIjVFYl/cRW7DVVWqsWsfNrf73A8aTNOQ4LbhyFZT3mGoAlGqoamWAyvY8R8bynMPbwL2EwCmA6IfG0+TEvlOAK557vJcPKIgacod31anMNcswqBljB2prPnuViMwHhuIE+I2McBPcQXxVT5J5yyU9fw1hpoy1/9Wz7YCVT4QIrxluRXtKCtaN2h6IwKvyL5nPY+qoXoijwnMEKcmSsMCLhBI48LGw12TuY0uOAdgRJUbLbGPLGCNY7LsH0Hv7YFDpw8vs2d0qpkQ70L/hqMImoaAMaG+GMcBfp2mdSUnPx9it6sYT4FT3P+9FCvSxuRTmDPdScCtkYkd7RdOzrNDQrpIqO+Mou/zZmc3onmB40DKQH2Uh6Xkp9wsQRC3K4JiO7aTrT/ptosNCe1egPrphu8bAEcFA
-----END CERTIFICATE-----","","","","","None","","","","2008/05/19","2020/06/17","","",""
"11219","","","None","192.168.43.223","tcp","3780","Nessus SYN scanner","It is possible to determine which TCP ports are open.","This plugin is a SYN 'half-open' port scanner.  It shall be reasonably
quick even against a firewalled target. 

Note that SYN scans are less intrusive than TCP (full connect) scans
against broken services, but they might cause problems for less robust
firewalls and also leave unclosed connections on the remote target, if
the network is loaded.","Protect your target with an IP filter.","","Port 3780/tcp was found to be open","","","","","None","","","","2009/02/04","2020/08/20","","",""
"11936","","","None","192.168.43.223","tcp","0","OS Identification","It is possible to guess the remote operating system.","Using a combination of remote probes (e.g., TCP/IP, SMB, HTTP, NTP,
SNMP, etc.), it is possible to guess the name of the remote operating
system in use. It is also possible sometimes to guess the version of
the operating system.","n/a","","
Remote operating system : Linux Kernel 2.6
Confidence level : 65
Method : SinFP

 
The remote host is running Linux Kernel 2.6","","","","","None","","","","2003/12/09","2020/03/09","","",""
"19506","","","None","192.168.43.223","tcp","0","Nessus Scan Information","This plugin displays information about the Nessus scan.","This plugin displays, for each tested host, information about the
scan itself :

  - The version of the plugin set.
  - The type of scanner (Nessus or Nessus Home).
  - The version of the Nessus Engine.
  - The port scanner(s) used.
  - The port range scanned.
  - Whether credentialed or third-party patch management
    checks are possible.
  - Whether the display of superseded patches is enabled
  - The date of the scan.
  - The duration of the scan.
  - The number of hosts scanned in parallel.
  - The number of checks done in parallel.","n/a","","Information about this scan : 

Nessus version : 8.11.1
Plugin feed version : 202008250542
Scanner edition used : Nessus
Scan type : Normal
Scan policy used : Advanced Scan
Scanner IP : 192.168.43.118
Port scanner(s) : nessus_syn_scanner 
Port range : default
Thorough tests : no
Experimental tests : no
Paranoia level : 1
Report verbosity : 1
Safe checks : yes
Optimize the test : yes
Credentialed checks : no
Patch management checks : None
Display superseded patches : yes (supersedence plugin launched)
CGI scanning : disabled
Web application tests : disabled
Max hosts : 5
Max checks : 5
Recv timeout : 5
Backports : None
Allow post-scan editing: Yes
Scan Start Date : 2020/8/25 20:14 India Standard Time
Scan duration : 386 sec
","","","","","None","","","","2005/08/26","2020/08/24","","",""
"21643","","","None","192.168.43.223","tcp","3780","SSL Cipher Suites Supported","The remote service encrypts communications using SSL.","This plugin detects which SSL ciphers are supported by the remote
service for encrypting communications.","n/a","https://www.openssl.org/docs/man1.1.0/apps/ciphers.html
http://www.nessus.org/u?3a040ada","
Here is the list of SSL ciphers supported by the remote server :
Each group is reported per SSL Version.

SSL Version : TLSv12
  High Strength Ciphers (>= 112-bit key)

    Name                          Code             KEX           Auth     Encryption             MAC
    ----------------------        ----------       ---           ----     ---------------------  ---
    ECDHE-RSA-AES128-SHA256       0xC0, 0x2F       ECDH          RSA      AES-GCM(128)           SHA256
    ECDHE-RSA-AES256-SHA384       0xC0, 0x30       ECDH          RSA      AES-GCM(256)           SHA384
    ECDHE-RSA-AES128-SHA256       0xC0, 0x27       ECDH          RSA      AES-CBC(128)           SHA256
    ECDHE-RSA-AES256-SHA384       0xC0, 0x28       ECDH          RSA      AES-CBC(256)           SHA384

The fields above are :

  {Tenable ciphername}
  {Cipher ID code}
  Kex={key exchange}
  Auth={authentication}
  Encrypt={symmetric encryption method}
  MAC={message authentication code}
  {export flag}
","","","","","None","","","","2006/06/05","2020/07/09","","",""
